01,"",,Candidats,%,Qualifiés,Dont %,Ratio,,,Candidats,%,Qualifiés,%,Ratio
01,"",,(A),femmes,(B),femmes,(B/A),,,(A),femmes,(B),femmes,(B/A)
01,"",Année,,,,,,,Année,,,,,
01,"",2015,2 579,"37,1%",1 784,"34,5%","69,2%",,2015,8 764,"46,1%",6 493,"45,8%","74,1%"
01,"",2016,2 293,"35,5%",1 634,"34,6%","71,3%",,2016,8 472,"46,4%",6 426,"45,7%","75,8%"
01,Ensemble des sections,2017,2 308,"36,9%",1 666,"36,1%","72,2%",Ensemble des sections,2017,8 143,"46,9%",6 122,"46,5%","75,2%"
01,"",2018,2 330,"35,1%",1 802,"34,5%","77,3%",,2018,8 148,"46,5%",6 042,"46,6%","74,2%"
01,"",2019,2 225,"34,9%",1 704,"34,7%","76,6%",,2019,8 359,"46,0%",6 141,"45,6%","73,5%"
01,"",2015,695,"48,1%",216,"44,9%","31,1%",,2015,1 366,"49,5%",649,"52,1%","47,5%"
01,"",2016,462,"44,8%",146,"45,9%","31,6%",,2016,1 254,"46,4%",630,"48,1%","50,2%"
01,Droit,2017,407,"47,4%",139,"49,6%","34,2%",Droit,2017,1 277,"45,0%",635,"46,1%","49,7%"
01,"",2018,312,"43,6%",95,"46,3%","30,4%",,2018,1 301,"45,3%",578,"47,8%","44,4%"
01,"",2019,327,"43,4%",107,"51,4%","32,7%",,2019,1 320,"45,9%",581,"46,1%","44,0%"
01,Groupe 01,2015,303,"53,5%",37,"56,8%","12,2%",Groupe 01,2015,738,"53,5%",256,"54,3%","34,7%"
01,"",2016,216,"50,5%",39,"56,4%","18,1%",,2016,705,"49,8%",272,"55,5%","38,6%"
01,"",2017,184,"50,0%",36,"50,0%","19,6%",,2017,711,"45,1%",253,"44,7%","35,6%"
01,Droit et science politique,,,,,,,Droit et science politique,,,,,,
01,"",2018,135,"45,9%",24,"54,2%","17,8%",,2018,733,"45,0%",250,"49,6%","34,1%"
